The index of the character in 常用字字形表 (二零零零年修訂本),香港: 香港教育學院, 2000, ISBN 962-949-040-4. This publication gives the “proper” shapes for 4759 characters as used in the Hong Kong school system. The index is an integer, zero-padded to four digits.

及	0466
取	0467
叔	0468
受	0469
叛	0470
叟	0471
曼	0472
叢	0473
口	0474
可	0475
古	0476
右	0477
召	0478
叮	0479
叩	0480
叨	0481
叼	0482
司	0483
叵	0484
另	0485
叫	0486
只	0487
史	0488
叱	0489
台	0490
臺	0490
句	0491
叭	0492
吉	0493
吏	0494
吐	0495
吁	0496
吋	0497
同	0498
各	0499
向	0500
名	0501
合	0502
吃	0503
后	0504
吆	0505
吒	0506
吝	0507
吭	0508
吞	0509
吾	0510
否	0511
呎	0512
吧	0513
呃	0514
君	0515
吠	0516
吼	0517
呀	0518
吱	0519
呆	0520
吳	0521
吵	0522
呐	0523
呈	0524
呂	0525
吩	0526
告	0527
吹	0528
吻	0529
吸	0530
吮	0531
含	0532
吟	0533
味	0534
呵	0535
咖	0536
呸	0537
咕	0538
呢	0539
咀	0540
呻	0541
呷	0542
咄	0543
咒	0544
咆	0545
呼	0546
咐	0547
呱	0548
呶	0549
和	0550
咚	0551
周	0552
咋	0553
命	0554
咎	0555
咬	0556
哀	0557
咩	0558
咨	0559
咳	0560
咪	0561
哎	0562
哉	0563
咦	0564
哇	0565
哂	0566
哄	0567
咫	0568
咧	0569
咽	0570
品	0571
哈	0572
咯	0573
咱	0574
咻	0575
咸	0576
唐	0577
唁	0578
哼	0579
哥	0580
哲	0581
哺	0582
唔	0583
哮	0584
哪	0585
唧	0586
哩	0587
哭	0588
員	0589
哨	0590
唆	0591
唉	0592
哦	0593
唷	0594
商	0595
啖	0596
唳	0597
啪	0598
啦	0599
啄	0600
啞	0601
啊	0602
啜	0603
啃	0604
唱	0605
問	0606
唬	0607
啡	0608
啕	0609
唯	0610
啤	0611
唸	0612
售	0613
啣	0614
啁	0615
啥	0616
啻	0617
喀	0618
喧	0619
啼	0620
喜	0621
喪	0622
喔	0623
喇	0624
喋	0625
喃	0626
喳	0627
喱	0628
喝	0629
喘	0630
喂	0631
單	0632
喟	0633
喊	0634
唾	0635
喲	0636
喚	0637
喻	0638
喬	0639
啾	0640
喉	0641
嗟	0642
嗨	0643
嗓	0644
嗉	0645
嗎	0646
嗜	0647
嗇	0648
嗑	0649
嗣	0650
嗤	0651
嗯	0652
嗚	0653
嗡	0654
嗅	0655
嗆	0656
嗥	0657
嗾	0658
嘀	0659
嘛	0660
嗽	0661
嘔	0662
嘉	0663
嗷	0664
嘖	0665
嘟	0666
嘈	0667
嘗	0668
嘍	0669
嘮	0670
嘻	0671
嘹	0672
嘲	0673
嘩	0674
噎	0675
噴	0676
嘶	0677
嘿	0678
嘰	0679
噓	0680
噗	0681
嘴	0682
噫	0683
嘯	0684
噩	0685
噤	0686
噸	0687
噹	0688
噪	0689
器	0690
噥	0691
噱	0692
噙	0693
噯	0694
噬	0695
噢	0696
嚎	0697
嚀	0698
嚅	0699
嚇	0700
嚏	0701
嚕	0702
嚮	0703
嚨	0704
嚥	0705
嚷	0706
嚶	0707
嚴	0708
嚼	0709
囁	0710
囀	0711
囂	0712
囈	0713
囊	0714
囉	0715
囌	0716
囑	0717
四	0718
囚	0719
因	0720
回	0721
困	0722
囤	0723
囪	0724
囱	0724
固	0725
圃	0726
圈	0727
國	0728
圍	0729
園	0730
圓	0731
團	0732
圖	0733
土	0734
地	0735
在	0736
圭	0737
圬	0738
圯	0739
圳	0740
坊	0741
坑	0742
址	0743
坍	0744
均	0745
坎	0746
圾	0747
坐	0748
坏	0749
垃	0750
坷	0751
坪	0752
坩	0753
坡	0754
坦	0755
